"","X1","artist_name","live_marker2","mean_energy","mean_liveness","mean_dance","mean_acoust","mean_speech","mean_instruments","mean_valence"
"1",59,"Aretha Franklin","live",0.524777551020408,0.551234693877551,0.406775510204082,0.666857142857143,0.110616326530612,0.000844519387755102,0.45494693877551
"2",60,"Aretha Franklin","studio",0.470408959537572,0.218260404624277,0.518606936416185,0.549159075144509,0.0608595375722543,0.00581205968208093,0.533043930635838
"3",493,"Frank Zappa","live",0.677544444444444,0.442023361823362,0.436760683760684,0.360131518518519,0.111066951566952,0.244231406752137,0.531788034188034
"4",494,"Frank Zappa","studio",0.563851487179487,0.377518666666667,0.458955333333333,0.387351366682051,0.157942974358974,0.182873727564103,0.507418051282051
"5",730,"Johnny Cash","live",0.550876878612717,0.685739884393064,0.514421965317919,0.606140462427746,0.203253757225434,0.0127008956647399,0.666751445086705
"6",731,"Johnny Cash","studio",0.39795328358209,0.187911492537313,0.595697014925373,0.71518721641791,0.0946618656716418,0.0310878458656716,0.605495597014925
"7",813,"Led Zeppelin","live",0.672979591836735,0.677938775510204,0.330285714285714,0.150758878367347,0.0836428571428571,0.186510861020408,0.453116326530612
"8",814,"Led Zeppelin","studio",0.684203389830508,0.195216949152542,0.409118644067797,0.200366928813559,0.0643491525423729,0.13484391779661,0.505033898305085
"9",1014,"Nirvana","live",0.882493975903614,0.613506024096386,0.319313253012048,0.0634865775903614,0.0886192771084337,0.317203468795181,0.29004578313253
"10",1015,"Nirvana","studio",0.77092700729927,0.203276642335766,0.433138686131387,0.171156117591241,0.0699036496350365,0.195764463868613,0.436841605839416
"11",1185,"Rush","live",0.890840909090909,0.867143181818182,0.278950757575758,0.0483112909469697,0.0733685606060606,0.184913170037879,0.335808712121212
"12",1186,"Rush","studio",0.804180448065173,0.281092260692464,0.45491649694501,0.0792579115682281,0.0666366598778004,0.0876788863747454,0.487934623217923
"13",1334,"The Band","live",0.77283,0.732376,0.49324,0.3046325,0.07242,0.055537139,0.60526
"14",1335,"The Band","studio",0.59446,0.205328,0.58014,0.344648,0.042153,0.0432361503,0.65155
"15",1428,"The Who","live",0.820507727272727,0.631025,0.399904545454545,0.197924595454545,0.0993595454545455,0.0616890637727273,0.389509545454545
"16",1429,"The Who","studio",0.699531899038462,0.251427884615385,0.498599519230769,0.295911980769231,0.0491793269230769,0.0827790668509615,0.520326442307692
"17",1464,"U2","live",0.792666666666667,0.9414,0.3306,0.1152968,0.05822,0.00878664733333333,0.436466666666667
"18",1465,"U2","studio",0.643131739130435,0.187512173913043,0.468295652173913,0.159579617826087,0.0452939130434783,0.142594043782609,0.433654347826087
